WardId	Router
10625	01SG-01
10620	01SG-01
10621	01SG-01
10622	01SG-01
10623	01SG-01
10615	01SG-02
10616	01SG-02
10617	01SG-02
10618	01SG-02
10619	01SG-02
10624	01SG-02
10613	01SG-02
10601	01SG-02
10602	01SG-03
10603	01SG-03
10604	01SG-03
10605	01SG-03
10606	01SG-04
10583	01SG-04
10584	01SG-04
10571	01SG-04
10572	01SG-04
10573	01SG-04
10574	01SG-04
10575	01SG-04
10576	01SG-04
10404	01SG-05
10405	01SG-05
10406	01SG-05
10407	01SG-05
10408	01SG-05
10409	01SG-05
10410	01SG-05
10412	01SG-05
10413	01SG-05
10415	01SG-05
10418	01SG-05
10419	01SG-05
10614	01SG-05
10608	01SG-06
10609	01SG-06
10610	01SG-06
10611	01SG-06
10612	01SG-06
10416	01SG-07
10417	01SG-07
10414	01SG-07
10411	01SG-07
10475	01SG-07
10476	01SG-07
10477	01SG-07
10478	01SG-07
10479	01SG-07
10480	01SG-07
10481	01SG-07
10482	01SG-07
10483	01SG-07
10484	01SG-07
10485	01SG-07
10392	01SG-08
10393	01SG-08
10394	01SG-08
10395	01SG-08
10396	01SG-08
10397	01SG-08
10398	01SG-08
10402	01SG-08
10400	01SG-09
10401	01SG-09
10403	01SG-09
10450	01SG-09
10451	01SG-09
10452	01SG-09
10453	01SG-10
10454	01SG-10
10455	01SG-10
10600	01SG-10
10570	01SG-10
10594	01SG-10
10595	01SG-10
10596	01SG-10
10597	01SG-10
10598	01SG-10
10591	01SG-10
10577	01SG-10
10607	01SG-11
10592	01SG-11
10578	01SG-11
10471	01SG-12
10472	01SG-12
10473	01SG-12
10381	01SG-12
10382	01SG-12
10383	01SG-12
10385	01SG-12
10389	01SG-13
10390	01SG-13
10391	01SG-13
10399	01SG-13
10474	01SG-13
10442	01SG-13
10443	01SG-13
10444	01SG-13
10445	01SG-13
10446	01SG-13
10447	01SG-14
10448	01SG-14
10449	01SG-14
10384	01SG-15
10388	01SG-15
10585	01SG-16
10586	01SG-16
10587	01SG-16
10588	01SG-16
10589	01SG-16
10590	01SG-16
10566	01SG-16
10567	01SG-16
10568	01SG-16
10569	01SG-17
10579	01SG-17
10580	01SG-17
10581	01SG-17
10582	01SG-17
10593	01SG-17
10599	01SG-17
10380	01SG-18
10386	01SG-18
10387	01SG-18
10379	01SG-19
10556	01SG-20
10558	01SG-20
10559	01SG-20
10561	01SG-20
10549	01SG-21
10557	01SG-21
10565	01SG-21
10553	01SG-21
10554	01SG-21
10555	01SG-21
10560	01SG-21
10550	01SG-22
10551	01SG-22
10552	01SG-22
10562	01SG-22
10563	01SG-22
